filename,label
Alkene DS\imgs\0.png,1
Alkene DS\imgs\1.png,1
,
,
,
Alkene DS\imgs\5.png,1
Alkene DS\imgs\6.png,1
Alkene DS\imgs\7.png,1
Alkene DS\imgs\8.png,1
Alkene DS\imgs\9.png,1
Alkene DS\imgs\10.png,1
Alkene DS\imgs\11.png,1
,
Alkene DS\imgs\13.png,1
Alkene DS\imgs\14.png,1
Alkene DS\imgs\15.png,1
Alkene DS\imgs\16.png,1
Alkene DS\imgs\17.png,1
Alkene DS\imgs\18.png,1
Alkene DS\imgs\19.png,1
Alkene DS\imgs\20.png,1
Alkene DS\imgs\21.png,1
Alkene DS\imgs\22.png,1
Alkene DS\imgs\23.png,1
Alkene DS\imgs\24.png,1
Alkene DS\imgs\25.png,1
Alkene DS\imgs\26.png,1
Alkene DS\imgs\27.png,1
Alkene DS\imgs\28.png,1
Alkene DS\imgs\29.png,1
,
Alkene DS\imgs\31.png,1
,
Alkene DS\imgs\33.png,1
Alkene DS\imgs\34.png,1
,
Alkene DS\imgs\36.png,1
Alkene DS\imgs\37.png,1
,
,
,
,
Alkene DS\imgs\42.png,1
,
,
,
Alkene DS\imgs\46.png,1
Alkene DS\imgs\47.png,1
Alkene DS\imgs\48.png,1
,
Alkene DS\imgs\50.png,1
,
,
Alkene DS\imgs\53.png,1
,
Alkene DS\imgs\55.png,1
Alkene DS\imgs\56.png,1
Alkene DS\imgs\57.png,1
Alkene DS\imgs\58.png,1
Alkene DS\imgs\59.png,1
Alkene DS\imgs\60.png,1
Alkene DS\imgs\61.png,1
Alkene DS\imgs\62.png,1
Alkene DS\imgs\63.png,1
Alkene DS\imgs\64.png,1
Alkene DS\imgs\65.png,1
Alkene DS\imgs\66.png,1
,
,
,
,
,
Alkene DS\imgs\72.png,1
Alkene DS\imgs\73.png,1
Alkene DS\imgs\74.png,1
Alkene DS\imgs\75.png,1
Alkene DS\imgs\76.png,1
Alkene DS\imgs\77.png,1
Alkene DS\imgs\78.png,1
Alkene DS\imgs\79.png,1
Alkene DS\imgs\80.png,1
Alkene DS\imgs\81.png,1
Alkene DS\imgs\82.png,1
Alkene DS\imgs\83.png,1
Alkene DS\imgs\84.png,1
,
Alkene DS\imgs\86.png,1
Alkene DS\imgs\87.png,1
Alkene DS\imgs\88.png,1
Alkene DS\imgs\89.png,1
,
Alkene DS\imgs\91.png,1
Alkene DS\imgs\92.png,1
Alkene DS\imgs\93.png,1
Alkene DS\imgs\94.png,1
Alkene DS\imgs\95.png,1
Alkene DS\imgs\96.png,1
Alkene DS\imgs\97.png,1
Alkene DS\imgs\98.png,1
Alkene DS\imgs\99.png,1
Alkene DS\imgs\100.png,1
Alkene DS\imgs\101.png,1
,
,
Alkene DS\imgs\104.png,1
Alkene DS\imgs\105.png,1
Alkene DS\imgs\106.png,1
Alkene DS\imgs\107.png,1
,
Alkene DS\imgs\109.png,1
Alkene DS\imgs\110.png,1
Alkene DS\imgs\111.png,1
Alkene DS\imgs\112.png,1
Alkene DS\imgs\113.png,1
Alkene DS\imgs\114.png,1
Alkene DS\imgs\115.png,1
Alkene DS\imgs\116.png,1
Alkene DS\imgs\117.png,1
Alkene DS\imgs\118.png,1
Alkene DS\imgs\119.png,1
Alkene DS\imgs\120.png,1
Alkene DS\imgs\121.png,1
